GENUS	SPECIES
Actinoplanes	rishiriensis
Actinoplanes	sediminis
Actinoplanes	siamensis
Actinoplanes	sichuanensis
Actinoplanes	subglobosus
Actinoplanes	teichomyceticus
Actinoplanes	tereljensis
Actinoplanes	toevensis
Actinoplanes	tropicalis
Actinoplanes	utahensis
Actinoplanes	xinjiangensis
Actinoplanes	
Actinopolymorpha	alba
Actinopolymorpha	cephalotaxi
Actinopolymorpha	pittospori
Actinopolymorpha	rutila
Actinopolymorpha	singaporensis
Actinopolymorpha	
Actinopolyspora	alba
Actinopolyspora	algeriensis
Actinopolyspora	biskrensis
Actinopolyspora	erythraea
Actinopolyspora	halophila
Actinopolyspora	iraqiensis
Actinopolyspora	lacussalsi
Actinopolyspora	mortivallis
Actinopolyspora	mzabensis
Actinopolyspora	righensis
Actinopolyspora	saharensis
Actinopolyspora	salinaria
Actinopolyspora	xinjiangensis
Actinopolyspora	
Actinopycnidium	caeruleum
Actinopycnidium	
Actinorectispora	indica
Actinorectispora	metalli
Actinorectispora	
Actinorhabdospora	filicis
Actinorhabdospora	
Actinorugispora	endophytica
Actinorugispora	
Actinospica	durhamensis
Actinospica	
Actinosporangium	violaceum
Actinosporangium	vitaminophilum
Actinosporangium	
Actinosynnema	mirum
Actinosynnema	pretiosum
Actinosynnema	pretiosum
Actinosynnema	pretiosum
Actinosynnema	
Actinotalea	caeni
Actinotalea	fermentans
Actinotalea	ferrariae
Actinotalea	solisilvae
Actinotalea	suaedae
Actinotalea	
Actinotignum	sanguinis
Actinotignum	schaalii
Actinotignum	urinale
Actinotignum	
Acutalibacter	muris
Acutalibacter	
Acuticoccus	kandeliae
Acuticoccus	sediminis
Acuticoccus	yangtzensis
Acuticoccus	
Adhaeribacter	aerolatus
Adhaeribacter	aerophilus
Adhaeribacter	aquaticus
Adhaeribacter	swui
Adhaeribacter	terrae
Adhaeribacter	terreus
Adhaeribacter	
Adlercreutzia	caecicola
Adlercreutzia	caecimuris
Adlercreutzia	equolifaciens
Adlercreutzia	equolifaciens
Adlercreutzia	equolifaciens
Adlercreutzia	mucosicola
Adlercreutzia	muris
Adlercreutzia	
Advenella	alkanexedens
Advenella	faeciporci
Advenella	incenata
Advenella	kashmirensis
Advenella	kashmirensis
Advenella	kashmirensis
Advenella	mimigardefordensis
Advenella	
Aegyptianella	pullorum
Aegyptianella	
Aequorivita	aestuarii
Aequorivita	antarctica
Aequorivita	capsosiphonis
Aequorivita	crocea
Aequorivita	echinoideorum
Aequorivita	lipolytica
Aequorivita	nionensis
Aequorivita	soesokkakensis
Aequorivita	sublithincola
Aequorivita	viscosa
Aequorivita	vladivostokensis
Aequorivita	
Aeribacillus	composti
Aeribacillus	pallidus
Aeribacillus	
Aeriscardovia	aeriphila
Aeriscardovia	
Aerococcus	christensenii
Aerococcus	suis
Aerococcus	urinae
Aerococcus	urinaeequi
Aerococcus	urinaehominis
Aerococcus	vaginalis
Aerococcus	viridans
Aerococcus	
Aeromicrobium	alkaliterrae
Aeromicrobium	camelliae
Aeromicrobium	choanae
Aeromicrobium	erythreum
Aeromicrobium	fastidiosum
Aeromicrobium	flavum
Aeromicrobium	ginsengisoli
Aeromicrobium	halocynthiae
Aeromicrobium	lacus
Aeromicrobium	marinum
Aeromicrobium	massiliense
Aeromicrobium	panacisoli
Aeromicrobium	panaciterrae
Aeromicrobium	ponti
Aeromicrobium	tamlense
Aeromicrobium	
Aeromonas	allosaccharophila
Aeromonas	aquariorum
Aeromonas	aquatica
Aeromonas	australiensis
Aeromonas	bestiarum
Aeromonas	bivalvium
Aeromonas	caviae
Aeromonas	culicicola
Aeromonas	dhakensis
Aeromonas	diversa
Aeromonas	encheleia
Aeromonas	enteropelogenes
Aeromonas	eucrenophila
Aeromonas	finlandensis
Aeromonas	finlandiensis
Aeromonas	fluvialis
Aeromonas	hydrophila
Aeromonas	hydrophila
Aeromonas	hydrophila
Aeromonas	hydrophila
Aeromonas	hydrophila
Aeromonas	hydrophila
Aeromonas	ichthiosmia
Aeromonas	jandaei
Aeromonas	lacus
Aeromonas	media
Aeromonas	molluscorum
Aeromonas	piscicola
Aeromonas	popoffii
Aeromonas	punctata
Aeromonas	punctata
Aeromonas	punctata
Aeromonas	rivipollensis
Aeromonas	rivuli
Aeromonas	salmonicida
Aeromonas	salmonicida
Aeromonas	salmonicida
Aeromonas	salmonicida
Aeromonas	salmonicida
Aeromonas	salmonicida
Aeromonas	sanarellii
Aeromonas	schubertii
Aeromonas	sharmana
Aeromonas	simiae
Aeromonas	sobria
Aeromonas	taiwanensis
Aeromonas	tecta
Aeromonas	trota
Aeromonas	veronii
Aeromonas	
Aeropyrum	camini
Aeropyrum	pernix
Aeropyrum	
Aestuariibacter	aggregatus
Aestuariibacter	halophilus
Aestuariibacter	litoralis
Aestuariibacter	salexigens
Aestuariibacter	
Aestuariibaculum	marinum
Aestuariibaculum	suncheonense
Aestuariibaculum	
Aestuariibius	insulae
Aestuariibius	
Aestuariicella	hydrocarbonica
Aestuariicella	
Aestuariicoccus	marinus
Aestuariicoccus	
Aestuariicola	saemankumensis
Aestuariicola	
Aestuariihabitans	beolgyonensis
Aestuariihabitans	
Aestuariimicrobium	kwangyangense
Aestuariimicrobium	soli
Aestuariimicrobium	
Aestuariimonas	insulae
Aestuariimonas	
Aestuariispira	insulae
Aestuariispira	
Aestuariivirga	litoralis
Aestuariivirga	
Aestuariivita	atlantica
Aestuariivita	boseongensis
Aestuariivita	
Aestuariivivens	insulae
Aestuariivivens	
Aestuarium	zhoushanense
Aestuarium	
Aetherobacter	fasciculatus
Aetherobacter	rufus
Aetherobacter	
Afifella	marina
Afifella	pfennigii
Afifella	
Afipia	birgiae
Afipia	broomeae
Afipia	clevelandensis
Afipia	felis
Afipia	massiliensis
Afipia	
Agaribacter	flavus
Agaribacter	marinus
Agaribacter	
Agaribacterium	haliotis
Agaribacterium	
Agaricicola	taiwanensis
Agaricicola	
Agarilytica	rhodophyticola
Agarilytica	
Agarivorans	aestuarii
Agarivorans	albus
